a,cl,cd,cl_std,cd_std,cl_std_x,cl_volt
-5,1.407723564,-0.123159853,1.476514524,0.129178282,0.01195,0.100330866
-2.5,1.702429214,-0.074329665,0.921378832,0.040228269,0.01796,0.077525797
0.1,1.905302922,0,1.243499157,0,0.01899,0.086079595
2.5,2.081255307,0.090869569,1.692861627,0.073911935,0.02177,0.130001419
5,2.084283428,0.182351172,1.787467587,0.15638315,0.02583,0.137420125
7.5,1.951295054,0.256892867,1.739976864,0.2290723,0.03478,0.145770847
10,1.831161256,0.322883135,1.358474243,0.239535662,0.00966,0.109061341
12.5,1.915278669,0.424607058,0.866142388,0.192019145,0.04594,0.080546585
15,1.980271172,0.530612061,1.645027383,0.440783759,0.04552,0.217665694
17.5,2.070097792,0.652699327,1.6759266,0.528417627,0.0668,0.230864486
20,2.132004185,0.775986063,1.460761463,0.531673692,0.0603,0.254596756
22.5,2.261986379,0.936945436,0.149167052,0.061787016,0.05049,0.227085395
25,2.228961118,1.039381639,1.447878076,0.675156635,0.04154,0.234291429
27.5,2.283085168,1.188498912,1.220575994,0.635391645,0.04299,0.208476493
30,2.416420441,1.395120992,1.41371975,0.816211478,0.03676,0.229233073
32.5,2.390179999,1.522712595,1.223936626,0.779733625,0.03899,0.226429844
35,2.322021299,1.625896818,0.720058154,0.504190147,0.0435,0.20610317
37.5,2.226011428,1.708078644,1.479358525,1.135151721,0.03727,0.254681997
40,2.156222796,1.809285753,1.213105502,1.01791638,0.03691,0.229070455
42.5,2.151470727,1.971459697,1.201332632,1.100818541,0.03325,0.207061214
45,2.014174468,2.014174468,1.091987688,1.091987688,0.02459,0.194362487
47.5,1.899610007,2.07306055,0.542354253,0.591875807,0.03691,0.146844711
50,1.891157543,2.253793796,0.389997263,0.46478064,0.03727,0.158440451
52.5,1.778600997,2.317917948,0.327387899,0.426660217,0.03325,0.144576446
55,1.660823125,2.371901236,1.021437573,1.458764033,0.02459,0.169576375
